Feasible	111358	0	1197.24
Feasible	27100	0	1199.7
Feasible	165744	0	1199.19
Feasible	80241	0	1199.27
Feasible	11032	0	1199.74
Feasible	34424	-5.16784e-06	1199.8
Feasible	89776	0	1199.87
Feasible	54261	0	1199.97
Feasible	19213	0	1199.96
Feasible	262386	-6.86407e-07	1199.73
Feasible	53369.5	0	1200.42
Feasible	142779	0	1200.47
Feasible	17649	0	1200.37
Feasible	220756	-1.27918e-06	1200.27
Feasible	26855	-1e-06	1200.3
Feasible	319343	0	1204.26
Feasible	131030	-2e-06	1204.45
Feasible	356810	-9.26514e-08	1204.24
Feasible	362949	-2e-06	1204.17
Feasible	80908	-1e-06	1202.67
Feasible	1.37997e+06	-4.00843e-07	1199.82
Feasible	372579	0	1199.9
Feasible	535950	0	1199.83
Feasible	335609	0	1199.86
Feasible	685721	0	1199.83
Feasible	264490	-2.10549e-06	1200.02
Feasible	438512	-4.76837e-07	1199.9
Feasible	1.79806e+06	-1.13073e-06	1199.97
Feasible	919479	-6.6438e-07	1200.05
Feasible	1.67294e+06	0	1200.01
Feasible	5.48117e+06	-2e-06	1201
Feasible	3.49902e+06	-1e-06	1201.08
Feasible	1.57683e+06	-1.50949e-06	1201.08
Feasible	1.49985e+06	-2.71271e-06	1200.97
Feasible	481765	-9.53674e-07	1201.03
Feasible	1.04932e+06	-2e-06	1201.42
Feasible	2.08013e+06	0	1196.4
Feasible	1.35934e+07	-1e-06	1190.09
Feasible	3.75591e+06	-1e-06	1206.69
Feasible	402183	-1.76568e-06	1207.41
Feasible	774334	0	1199.76
Feasible	638696	0	1199.74
Feasible	2.77262e+06	0	1199.81
Feasible	3.67408e+06	-3.9624e-07	1199.76
Feasible	2.85277e+06	-9.11785e-11	1199.74
Feasible	2.65482e+06	-8.96889e-08	1199.88
Feasible	275576	0	1199.95
Feasible	3.32316e+06	-9.73129e-07	1199.89
Feasible	5.63608e+06	-3e-06	1199.83
Feasible	2.84786e+06	0	1199.83
Feasible	6.36197e+06	-1e-06	1200.78
Feasible	2.80269e+06	-1e-06	1200.93
Feasible	5.20498e+06	-7.84835e-07	1201.6
Feasible	3.61358e+06	0	1201.06
Feasible	2.5617e+06	-2e-06	1201.07
